,final_legend,phase,5% In,20% In,50% In,80% In,90% In,100% In,120% In,total_score,Preis (€),volumen
25,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1 | PAC2 | Dreieck (2000A),L2,-0.27922432952454457,-0.2484298058150037,,,,-0.20361601251752773,-0.23186269381579136,,43.67,733.2
26,MBS 2025 12 08 1121-MBS-ASK101.4-2000A-8R1 | PAC2 | Dreieck (2000A),L3,0.01589962986364255,-0.04365910688836567,,,,-0.16276167671439098,-0.16621090998029103,,43.67,733.2
27,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1 | PAC2 | Dreieck (2000A),L1,0.47271541732619926,0.022059244515254286,,,,-0.11996729177820459,-0.12131086570076263,,146.01,778.7325
28,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1 | PAC2 | Dreieck (2000A),L2,0.3383314560274699,0.08793629142723618,,,,-0.0938483766658541,-1.5332075824548026,,146.01,778.7325
29,Redur 2025 12 08 1219-Redur-13A1030.3ffp-2000A-8R1 | PAC2 | Dreieck (2000A),L3,0.47118547111763676,0.11082506270104975,,,,0.12578813298851133,-0.07033679569842505,,146.01,778.7325
30,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Dreieck (2000A),L1,0.3888097479411119,0.11818885503487406,,,,-0.025317307900583067,-0.037412610059881314,,146.01,778.7325
31,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Dreieck (2000A),L2,0.5115807053128427,0.18750146873648563,,,,0.029481367445558057,-0.272472826422681,,146.01,778.7325
32,Redur 2025 12 08 1305-Redur-13A1030.3ffp-2000A-0R0 | PAC2 | Dreieck (2000A),L3,0.6899926604863689,0.2244379381904411,,,,0.09885176493590889,0.07567375706835497,,146.01,778.7325
33,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8 | PAC2 | Dreieck (3000A),L1,0.13800221309766242,-0.17404812991938307,-0.2570549340136522,-0.31382437849747324,-0.34284839924548527,-0.3848151716655582,-0.6845252757882315,25.08281841866289,71.51,1520
34,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8 | PAC2 | Dreieck (3000A),L2,0.20060304038911322,-0.09309431956185694,-0.17302214408395797,-0.19550796175778723,-0.20092796971732416,-0.20655691596738404,-0.22664175976425893,14.802952603572344,71.51,1520
35,Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8 | PAC2 | Dreieck (3000A),L3,0.32996067225094555,0.059433324691008815,-0.04988446583621447,-0.11306061613035061,-0.13579721481025753,-0.034928206875627914,-0.018133291302036607,6.620104208563239,71.51,1520
36,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8 | PAC2 | Dreieck (2500A),L1,-0.029268848218320216,-0.18582215955190312,-0.22886388283283168,-0.2549043988160746,-0.25931310201747104,-0.2787064085612591,-0.30515101686607105,20.435305065348462,104.2,1027
37,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8 | PAC2 | Dreieck (2500A),L2,0.00867219122067393,-0.1399696671147303,-0.18767667717542688,-0.22212539311465684,-0.241823027870828,-0.2749792427800557,-0.5489164377570439,18.43900349639557,104.2,1027
38,Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8 | PAC2 | Dreieck (2500A),L3,0.10243610530766102,-0.07677982255834137,-0.12577885202850111,-0.17116171310073303,-0.19236714090682122,-0.2287674864659995,-0.31722471005662967,12.648782170663663,104.2,1027
39,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35 | PAC2 | Dreieck (2500A),L1,0.15870602561198008,-0.10680912231303767,-0.24694601314381864,-1.6782535844864919,-3.3367590748001623,-5.065526792925207,-8.277749265960303,120.88806165955592,45.5,634291
40,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35 | PAC2 | Dreieck (2500A),L2,0.07296830865741569,-0.20417436118746785,-0.315792367755567,-1.5677300037741204,-1.763110858216796,-1.8342002157285549,-1.9496565687838159,63.460139602429464,45.5,634291
41,Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35 | PAC2 | Dreieck (2500A),L3,0.1816249843781726,-0.1389544278065468,-0.2561887097221165,-1.1262988595909091,-2.2318668620650732,-3.4517754714864237,-5.437319431101213,86.09766456565492,45.5,634291
42,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8 | PAC2 | Dreieck (3000A),L1,0.2726496378088533,-0.09323721638525287,-0.16961589017996087,-0.18448814602635358,-0.1632854271779783,-0.1408610412991624,-0.07649313617578417,13.424103545918847,346.06,1520
43,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8 | PAC2 | Dreieck (3000A),L2,0.29616879713036515,0.0216508551160839,-0.07313569665346809,-0.10762526251853956,-0.08829968793686557,-0.07328339228838013,0.09656941158221309,6.624161081553588,346.06,1520
44,Celsa 2025 12 10 1009-Celsa-ALO 12070 K-3000A-10R8 | PAC2 | Dreieck (3000A),L3,0.33759229706510263,0.1529404276913728,0.13656131889403178,0.16920083499491081,-0.03747980366886659,-0.04486012588368872,-0.04572981216248206,12.215810679970634,346.06,1520
45,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8 | PAC2 | Parallel (3000A),L1,0.19429005743536865,-0.0704743393157825,-0.17573098230892886,-0.1743559789753276,-0.1501058936121696,-0.1183835746217789,-0.07180971510243961,12.477503238948275,346.06,1520
46,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8 | PAC2 | Parallel (3000A),L2,0.20893672139296274,-0.00889436670157253,-0.09851346219622503,-0.07092948362901465,0.021599213113737185,0.26598524167109105,0.9290243141862353,11.373065680598115,346.06,1520
47,Celsa 2025 12 10 1122-Celsa-ALO 12070 K-3000A-10R8 | PAC2 | Parallel (3000A),L3,0.3452951890655578,0.11028185415909696,0.0007240929598126443,-0.030582538948272474,-0.018492293258380886,0.012369946588681823,0.08207011749503118,4.819488708668018,346.06,1520
48,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8 | PAC2 | Parallel (3000A),L1,0.2652708240569434,-0.19464104218370096,-0.22528048931520378,-0.30081541485684,-0.3493978499680405,-0.4177461047449523,-1.0174154642196767,26.60035587961941,71.51,1520
49,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8 | PAC2 | Parallel (3000A),L2,0.28471379882996245,-0.08929144517853316,-0.15827532473847306,-1.0807412663817462,-1.8897093406039729,-2.924268529595396,-5.425801040516918,75.53877203487873,71.51,1520
50,Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8 | PAC2 | Parallel (3000A),L3,0.2526324624380427,-0.029871150506767644,-0.09779573519931808,-0.13797029822556942,-0.1488111992838021,-0.17009733892632528,-0.910177784856761,12.826424511162763,71.51,1520
51,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8 | PAC2 | Parallel (2500A),L1,0.0814813055380966,-0.16365118947737792,-0.23160768598430834,-0.27253450858581246,-0.30604715066007526,-0.2913966157991694,-0.32558174801904455,20.784048006575212,104.2,1027
52,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8 | PAC2 | Parallel (2500A),L2,0.24653838299210448,-0.10364321711837934,-0.19224838953307405,-0.23821658385443592,-0.3014185075229708,-0.3724768282496039,-1.0115769079761294,21.810581920029236,104.2,1027
53,Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8 | PAC2 | Parallel (2500A),L3,0.23400507789480843,-0.05346023342800151,-0.13468855608982283,-0.17267914044725255,-0.1993851111943419,-0.19700620129573684,-0.26362265125830553,12.398104034029007,104.2,1027
54,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35 | PAC2 | Parallel (2500A),L1,-0.061141259507844735,-0.21374218766151087,-0.6534956797733529,-7.42292834487843,-10.056064835278137,-12.37010667836517,-16.238399920578082,317.5802740372067,45.5,634291
55,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35 | PAC2 | Parallel (2500A),L2,0.060218547371267174,-0.11701999205246694,-2.7321010414152656,-11.570753141562005,-14.276562967293035,-16.623472771034546,-20.565487098712026,503.2036118653547,45.5,634291
56,Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35 | PAC2 | Parallel (2500A),L3,0.1800519921938464,0.03145431133476399,-0.11862650507073536,-5.351693302105205,-7.856386441834051,-10.098571306240213,-13.862363892516298,235.15456742995838,45.5,634291
57,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0 | PAC2 | Parallel (3000A),L1,0.08381134049315292,-0.1316493959758833,-0.2181981209992447,-0.2757193478325225,-0.3177458319284944,-0.395466771951285,-1.8570296466412297,27.658391198054968,71.51,1520
58,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0 | PAC2 | Parallel (3000A),L2,0.16895320056720473,-0.03850129463077127,-0.1308804155241675,-0.5976165041942789,-1.414803617723106,-2.5372896585463973,-5.113206929721652,61.51426460081481,71.51,1520
59,Celsa 2025 12 11 1000-Celsa-ALO 12070-3000A-0R0 | PAC2 | Parallel (3000A),L3,0.30030734424174055,0.04523308167195029,-0.04624910696749429,-0.0862295681939237,-0.0988214061821842,-0.12087460856016517,-0.428364851680366,8.048976544634689,71.51,1520
60,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0 | PAC2 | Parallel (4000A),L1,0.3260200984051267,0.08940305605334563,0.04080427080824957,0.04396267310368131,0.04442273147336867,0.062483858737525634,0.039414444257496885,6.079423478991948,401.91,1520
61,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0 | PAC2 | Parallel (4000A),L2,0.1126774106515558,-0.11401481393938304,-0.16685070303822858,-0.17000552290702714,-0.17498838731307811,-0.1978926500422329,-0.5823729345148241,16.115268615683085,401.91,1520
62,Celsa 2025 12 16 0812-Celsa-ALO 12070 K-4000A-0R0 | PAC2 | Parallel (4000A),L3,0.21363481166820575,0.02625387241290968,-0.04122023351138415,-0.0638469059384408,-0.06279013759581745,-0.05420098394204575,-0.03101838717841157,4.324700779338099,401.91,1520
63,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0 | PAC2 | Parallel (4000A),L1,0.21759012681703263,-0.03401010393362921,-0.11711603622477072,-0.14210277674015998,-0.1961579771078911,-0.6982885400657348,-3.205522027234503,28.235993108535197,71.51,1520
64,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0 | PAC2 | Parallel (4000A),L2,0.1390814181607365,-0.06762363452499422,-0.12303430372855645,-0.9447422892958248,-2.026888125984046,-3.283339718783948,-5.8614694368666616,77.29715700048051,71.51,1520
65,Celsa 2025 12 16 1020-Celsa-ALO 12070-4000A-0R0 | PAC2 | Parallel (4000A),L3,0.10664129300513743,-0.12213473851327072,-0.16261085607196013,-0.20055030206150037,-0.3612142967302127,-1.2179199431737793,-3.83508595663376,39.67112023268223,71.51,1520
66,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0 | PAC2 | Dreieck (4000A),L1,0.24848857093463886,-0.04377007007535428,-0.11657490846734783,-0.14306233308837227,-0.1586233589692736,-0.22722835778367598,-1.488917647517514,17.129338367623955,71.51,1520
67,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0 | PAC2 | Dreieck (4000A),L2,0.14631142664326488,-0.09394198035693091,-0.13198667502215133,-0.14880594420410864,-0.14275026777984004,-0.15138966783483143,0.29108044872360794,12.322589031607798,71.51,1520
68,Celsa 2025 12 16 1140-Celsa-ALO 12070-4000A-0R0 | PAC2 | Dreieck (4000A),L3,0.07496904088321148,-0.10862464130256622,-0.1737882409192049,-0.19006060459228608,-0.20787809434572405,-0.3020119460972754,-1.7125818463494302,22.637574777283575,71.51,1520
69,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0 | PAC2 | Dreieck (4000A),L1,0.42401893811542235,0.11728253949756048,0.049852184784237585,0.041435205336222844,0.039317113845850245,0.05707844184271511,0.07627856576173005,7.525780723912637,401.91,1520
70,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0 | PAC2 | Dreieck (4000A),L2,0.11113008762735987,-0.06788235760579371,-0.15505624013145664,-0.18530783596582415,-0.18850386063040622,-0.20340858728385558,-0.6514080674517493,15.086125827230857,401.91,1520
71,Celsa 2025 12 16 1315-Celsa-ALO 12070 K-4000A-0R0 | PAC2 | Dreieck (4000A),L3,0.2726677271795657,0.03949608634363634,-0.03323753269432711,-0.06966258303571896,-0.0654543956608217,-0.06679595278428434,-0.06093349373423306,4.849254107017097,401.91,1520
