final_legend,hersteller,modell,geometrie,nennstrom,technologie,Preis (€),flags,export_group,volumen,5% In_L1,5% In_L2,5% In_L3,20% In_L1,20% In_L2,20% In_L3,50% In_L1,50% In_L2,50% In_L3,80% In_L1,80% In_L2,80% In_L3,90% In_L1,90% In_L2,90% In_L3,100% In_L1,100% In_L2,100% In_L3,120% In_L1,120% In_L2,120% In_L3,Nieder_L1,Nieder_L2,Nieder_L3,Nenn_L1,Nenn_L2,Nenn_L3,Ueber_L1,Ueber_L2,Ueber_L3,Nieder_Ges,Nenn_Ges,Ueber_Ges,Gesamtfehler,Verbesserung Dreick
Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2500,Standard,"45,5",,mes_2500A,634291,"-0,06","0,06","0,18","-0,21","-0,12","0,03","-0,65","-2,73","-0,12","-7,42","-11,57","-5,35","-10,06","-14,28","-7,86","-12,37","-16,62","-10,1","-16,24","-20,57","-13,86","-0,31","-0,93","0,03","-9,95","-14,16","-7,77","-16,24","-20,57","-13,86","0,42","10,63","16,89","9,31","72,18"
Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2500,Standard,"45,5",,mes_2500A,634291,"0,16","0,07","0,18","-0,11","-0,2","-0,14","-0,25","-0,32","-0,26","-1,68","-1,57","-1,13","-3,34","-1,76","-2,23","-5,07","-1,83","-3,45","-8,28","-1,95","-5,44","-0,07","-0,15","-0,07","-3,36","-1,72","-2,27","-8,28","-1,95","-5,44","0,1","2,45","5,22","2,59",
Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,Celsa,ALO 10050 K,Parallel,2500,Kompensiert,"104,2",,mes_2500A,1027,"0,08","0,25","0,23","-0,16","-0,1","-0,05","-0,23","-0,19","-0,14","-0,27","-0,24","-0,17","-0,31","-0,3","-0,2","-0,29","-0,37","-0,2","-0,33","-1,01","-0,26","-0,1","-0,01","0,01","-0,29","-0,3","-0,19","-0,33","-1,01","-0,26","0,04","0,26","0,53","0,28","13,13"
Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,Celsa,ALO 10050 K,Dreieck,2500,Kompensiert,"104,2",,mes_2500A,1027,"-0,03","0,01","0,1","-0,19","-0,14","-0,08","-0,23","-0,19","-0,13","-0,26","-0,22","-0,17","-0,26","-0,24","-0,19","-0,28","-0,28","-0,23","-0,31","-0,55","-0,32","-0,15","-0,11","-0,04","-0,27","-0,25","-0,2","-0,31","-0,55","-0,32","0,1","0,24","0,39","0,24",
Celsa 2025 12 11 0812-Celsa-ALO 10030-2500A-1R35  | Parallel,Celsa,ALO 10030,Parallel,2500,Standard,"45,5",,mes_2500A_x,634291,"-0,061","0,06","0,18","-0,214","-0,117","0,031","-0,653","-2,732","-0,119","-7,423","-11,571","-5,352","-10,056","-14,277","-7,856","-12,37","-16,623","-10,099","-16,238","-20,565","-13,862","-0,31","-0,93","0,03","-9,95","-14,16","-7,77","-16,24","-20,57","-13,86","0,42","10,63","16,89","9,31","72,2"
Celsa 2025 12 09 1535-Celsa-ALO 10030-2500A-1R35  | Dreieck,Celsa,ALO 10030,Dreieck,2500,Standard,"45,5",,mes_2500A_x,634291,"0,159","0,073","0,182","-0,107","-0,204","-0,139","-0,247","-0,316","-0,256","-1,678","-1,568","-1,126","-3,337","-1,763","-2,232","-5,066","-1,834","-3,452","-8,278","-1,95","-5,437","-0,07","-0,15","-0,07","-3,36","-1,72","-2,27","-8,28","-1,95","-5,44","0,1","2,45","5,22","2,59",
Celsa 2025 12 10 1533-Celsa-ALO 10050 K-2500A-2R8  | Parallel,Celsa,ALO 10050 K,Parallel,2500,Kompensiert,"104,2",,mes_2500A_x,1027,"0,081","0,247","0,234","-0,164","-0,104","-0,053","-0,232","-0,192","-0,135","-0,273","-0,238","-0,173","-0,306","-0,301","-0,199","-0,291","-0,372","-0,197","-0,326","-1,012","-0,264","-0,11","-0,02","0,02","-0,29","-0,3","-0,19","-0,33","-1,01","-0,26","0,05","0,26","0,53","0,28","14,08"
Celsa 2025 12 09 1332-Celsa-ALO 10050 K-2500A-2R8  | Dreieck,Celsa,ALO 10050 K,Dreieck,2500,Kompensiert,"104,2",,mes_2500A_x,1027,"-0,029","0,009","0,102","-0,186","-0,14","-0,077","-0,229","-0,188","-0,126","-0,255","-0,222","-0,171","-0,259","-0,242","-0,192","-0,279","-0,275","-0,229","-0,305","-0,549","-0,317","-0,15","-0,11","-0,03","-0,26","-0,25","-0,2","-0,31","-0,55","-0,32","0,1","0,24","0,39","0,24",
Celsa 2025 12 10 1302-Celsa-ALO 12070-3000A-10R8  | Parallel,Celsa,ALO 12070,Parallel,3000,Standard,"71,51",,mes_3000A,1520,"0,27","0,29","0,25","-0,2","-0,09","-0,03","-0,23","-0,16","-0,1","-0,3","-1,08","-0,14","-0,35","-1,89","-0,15","-0,42","-2,92","-0,17","-1,02","-5,43","-0,91","-0,05","0,01","0,04","-0,36","-1,96","-0,15","-1,02","-5,43","-0,91","0,04","0,82","2,45","1,1","3,96"
Celsa 2025 12 09 1030-Celsa-ALO 12070-3000A-10R8  | Dreieck,Celsa,ALO 12070,Dreieck,3000,Standard,"71,51",,mes_3000A,1520,"0,14","0,2","0,33","-0,17","-0,09","0,06","-0,26","-0,17","-0,05","-0,31","-0,2","-0,11","-0,34","-0,2","-0,14","-0,39","-0,21","-0,04","-0,69","-0,23","-0,02","-0,1","-0,02","0,11","-0,35","-0,2","-0,1","-0,69","-0,23","-0,02","0,08","0,22","0,31","0,2",
