05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;142.595474243164;0;127.080024719238;0;145.653472900391;0;142.792007446289;0;127.369491577148;0;146.091232299805;0;599.307861328125;0;567.661071777344;0;600.47119140625;0;598.464965820313;0;567.47412109375;0;600.760986328125;0;1499.53381347656;0;1518.40100097656;0;1509.92651367188;0;1496.2099609375;0;1516.47631835938;0;1509.02746582031;0;2415.02197265625;0;2400.9111328125;0;2416.42236328125;0;2408.03930664063;0;2386.2333984375;0;2414.58618164063;0;2717.99951171875;0;2711.42724609375;0;2723.31567382813;0;2709.31372070313;0;2670.96240234375;0;2719.0283203125;0;3015.36596679688;0;2999.7958984375;0;2980.80615234375;0;3003.43139648438;0;2925.61108398438;0;2977.63427734375;0;3609.013671875;0;3626.240234375;0;3627.7900390625;0;3539.59204101563;0;3435.49462890625;0;3608.63549804688
1;142.596710205078;1;127.069961547852;1;145.656295776367;1;142.801559448242;1;127.361206054688;1;146.080657958984;1;598.784545898438;1;567.287414550781;1;599.814575195313;1;597.957946777344;1;567.096069335938;1;600.080871582031;1;1499.564453125;1;1518.5927734375;1;1510.05712890625;1;1496.28088378906;1;1516.67297363281;1;1509.19909667969;1;2416.48217773438;1;2401.97875976563;1;2417.94921875;1;2409.20849609375;1;2386.75805664063;1;2415.79736328125;1;2713.72778320313;1;2704.50146484375;1;2698.14770507813;1;2704.1611328125;1;2665.56665039063;1;2691.45288085938;1;3016.97900390625;1;3000.79272460938;1;2982.21142578125;1;3005.75390625;1;2926.52026367188;1;2978.90258789063;1;3609.58911132813;1;3626.29541015625;1;3628.00854492188;1;3541.30590820313;1;3437.04956054688;1;3610.21923828125
2;142.478820800781;2;126.943061828613;2;145.495513916016;2;142.826080322266;2;127.351097106934;2;146.097290039063;2;599.385864257813;2;567.791870117188;2;600.426391601563;2;598.549438476563;2;567.623962402344;2;600.726379394531;2;1498.212890625;2;1517.41479492188;2;1508.90148925781;2;1494.79797363281;2;1515.21594238281;2;1508.1767578125;2;2415.87524414063;2;2400.54296875;2;2416.82958984375;2;2408.59716796875;2;2385.34497070313;2;2414.73901367188;2;2711.06762695313;2;2699.4404296875;2;2686.873046875;2;2702.45556640625;2;2662.5849609375;2;2684.36352539063;2;3015.83178710938;2;2999.00927734375;2;2980.1376953125;2;3003.5888671875;2;2924.40405273438;2;2976.13110351563;2;3609.35693359375;2;3626.11059570313;2;3627.61669921875;2;3541.451171875;2;3436.80712890625;2;3610.2890625
3;142.614364624023;3;127.068519592285;3;145.653656005859;3;142.826080322266;3;127.351097106934;3;146.097290039063;3;598.63818359375;3;567.034484863281;3;599.770324707031;3;597.761840820313;3;566.874206542969;3;600.053527832031;3;1498.212890625;3;1517.41479492188;3;1508.90148925781;3;1494.79797363281;3;1515.21594238281;3;1508.1767578125;3;2415.33544921875;3;2399.6923828125;3;2416.11499023438;3;2408.07641601563;3;2384.158203125;3;2413.94750976563;3;2713.23901367188;3;2700.4638671875;3;2687.29711914063;3;2704.21850585938;3;2663.373046875;3;2684.32641601563;3;3015.2998046875;3;2999.08813476563;3;2979.73754882813;3;3003.44116210938;3;2924.95190429688;3;2976.17846679688;3;3611.42529296875;3;3628.16650390625;3;3629.80810546875;3;3541.67358398438;3;3437.61108398438;3;3611.45751953125
4;142.548034667969;4;127.048683166504;4;145.623870849609;4;142.75065612793;4;127.348075866699;4;146.084136962891;4;599.472839355469;4;567.767883300781;4;600.834350585938;4;598.66845703125;4;567.597717285156;4;601.099487304688;4;1499.42834472656;4;1518.4775390625;4;1509.93249511719;4;1496.0048828125;4;1516.55383300781;4;1508.97570800781;4;2414.41479492188;4;2399.1591796875;4;2415.36987304688;4;2407.03076171875;4;2384.3896484375;4;2413.41455078125;4;2712.05859375;4;2700.54223632813;4;2686.54614257813;4;2703.00390625;4;2662.71533203125;4;2683.236328125;4;3015.67993164063;4;2999.67138671875;4;2979.85815429688;4;3002.8857421875;4;2924.29418945313;4;2974.99584960938;4;3603.1044921875;4;3611.99853515625;4;3590.99731445313;4;3537.55126953125;4;3434.35717773438;4;3591.59228515625
5;142.548034667969;5;127.048683166504;5;145.623870849609;5;142.75065612793;5;127.348075866699;5;146.084136962891;5;598.881713867188;5;567.298767089844;5;600.0654296875;5;598.03955078125;5;567.157531738281;5;600.329711914063;5;1499.42834472656;5;1518.4775390625;5;1509.93249511719;5;1496.0048828125;5;1516.55383300781;5;1508.97570800781;5;2414.88354492188;5;2399.84887695313;5;2416.81787109375;5;2407.63818359375;5;2384.49755859375;5;2414.15771484375;5;2709.24682617188;5;2697.07421875;5;2683.51928710938;5;2700.79638671875;5;2660.21508789063;5;2681.02587890625;5;3013.47705078125;5;2997.244140625;5;2977.462890625;5;3002.48876953125;5;2924.166015625;5;2975.14599609375;5;3603.1044921875;5;3611.99853515625;5;3590.99731445313;5;3533.85107421875;5;3427.57299804688;5;3576.18139648438
6;142.558670043945;6;127.057113647461;6;145.607376098633;6;142.760864257813;6;127.36402130127;6;146.070327758789;6;599.2568359375;6;567.671325683594;6;600.490356445313;6;598.382568359375;6;567.4990234375;6;600.7890625;6;1499.6708984375;6;1518.88427734375;6;1510.02697753906;6;1496.35241699219;6;1516.96923828125;6;1509.27795410156;6;2413.93041992188;6;2399.20776367188;6;2415.50708007813;6;2407.33813476563;6;2383.85986328125;6;2413.59716796875;6;2715.54418945313;6;2702.22607421875;6;2688.66625976563;6;2701.98217773438;6;2660.734375;6;2681.52221679688;6;3015.11938476563;6;2999.72924804688;6;2979.10229492188;6;3003.513671875;6;2924.92041015625;6;2975.87670898438;6;3606.67626953125;6;3613.35815429688;6;3595.0;6;3536.92993164063;6;3429.181640625;6;3579.4482421875
7;142.558670043945;7;127.057113647461;7;145.607376098633;7;142.760864257813;7;127.36402130127;7;146.070327758789;7;598.649353027344;7;567.242919921875;7;600.000244140625;7;597.848693847656;7;567.068298339844;7;600.272766113281;7;1500.197265625;7;1519.51086425781;7;1510.28588867188;7;1496.87170410156;7;1517.57006835938;7;1509.36657714844;7;2412.78271484375;7;2397.19482421875;7;2413.3447265625;7;2405.72607421875;7;2382.73315429688;7;2411.56762695313;7;2715.54418945313;7;2702.22607421875;7;2688.66625976563;7;2706.90869140625;7;2664.63305664063;7;2686.02514648438;7;3013.6552734375;7;2997.16381835938;7;2977.31518554688;7;3002.00244140625;7;2922.8662109375;7;2974.03247070313;7;3606.67626953125;7;3613.35815429688;7;3595.0;7;3536.01220703125;7;3428.00732421875;7;3579.05786132813
8;142.498123168945;8;127.012130737305;8;145.546112060547;8;142.700286865234;8;127.295150756836;8;146.009307861328;8;598.822692871094;8;567.499389648438;8;600.218383789063;8;598.01123046875;8;567.317993164063;8;600.492919921875;8;1500.94104003906;8;1520.46350097656;8;1511.39587402344;8;1497.66943359375;8;1518.59411621094;8;1510.55578613281;8;2414.51196289063;8;2399.5341796875;8;2415.11987304688;8;2407.58471679688;8;2383.96655273438;8;2412.70361328125;8;2715.18627929688;8;2702.064453125;8;2688.865234375;8;2706.68896484375;8;2664.4658203125;8;2686.16430664063;8;3016.0068359375;8;2999.78540039063;8;2980.17431640625;8;3004.54833984375;8;2924.98657226563;8;2976.71606445313;8;3607.04174804688;8;3614.07690429688;8;3595.45776367188;8;3536.99682617188;8;3428.66845703125;8;3579.42333984375
9;142.498123168945;9;127.012130737305;9;145.546112060547;9;142.355407714844;9;126.984115600586;9;145.640838623047;9;599.038330078125;9;567.707824707031;9;600.439514160156;9;598.184631347656;9;567.541564941406;9;600.748352050781;9;1500.40869140625;9;1519.47509765625;9;1510.61401367188;9;1497.17150878906;9;1517.59509277344;9;1509.76794433594;9;2413.689453125;9;2398.96337890625;9;2413.59106445313;9;2406.52319335938;9;2383.4775390625;9;2410.45971679688;9;2715.18627929688;9;2702.064453125;9;2688.865234375;9;2706.68896484375;9;2664.4658203125;9;2686.16430664063;9;3013.45141601563;9;2996.51953125;9;2977.2421875;9;3000.86376953125;9;2921.52294921875;9;2972.6962890625;9;3605.28955078125;9;3611.82885742188;9;3593.49145507813;9;3536.99682617188;9;3428.66845703125;9;3579.42333984375
