05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;197.58317565918;0;202.519760131836;0;179.463516235352;0;198.10514831543;0;202.828247070313;0;179.74674987793;0;809.341857910156;0;792.931579589844;0;787.952453613281;0;807.992553710938;0;791.4677734375;0;786.116027832031;0;2023.06457519531;0;2011.79064941406;0;1985.69580078125;0;2021.23498535156;0;2009.48645019531;0;1982.734375;0;3168.50708007813;0;3211.94775390625;0;3188.50439453125;0;3164.35180664063;0;3183.65966796875;0;3182.837890625;0;3598.26049804688;0;3597.02319335938;0;3591.31298828125;0;3591.138671875;0;3525.48046875;0;3578.74194335938;0;4008.61328125;0;4003.59838867188;0;3991.6376953125;0;3980.8359375;0;3873.34619140625;0;3945.01489257813;0;4818.58056640625;0;4790.56298828125;0;4816.41357421875;0;4662.9794921875;0;4506.2783203125;0;4630.3095703125
1;197.597229003906;1;202.585250854492;1;179.540634155273;1;198.099426269531;1;202.805114746094;1;179.751174926758;1;807.920349121094;1;791.530517578125;1;786.451049804688;1;807.741149902344;1;792.72998046875;1;789.724060058594;1;2021.32702636719;1;2011.193359375;1;1986.89184570313;1;2021.49438476563;1;2009.88549804688;1;1983.63403320313;1;3170.83081054688;1;3213.56689453125;1;3190.87231445313;1;3165.52880859375;1;3184.35473632813;1;3184.3056640625;1;3599.63745117188;1;3598.42749023438;1;3592.90502929688;1;3592.34521484375;1;3526.0517578125;1;3579.90747070313;1;4012.50537109375;1;4007.3037109375;1;3995.45556640625;1;3983.0498046875;1;3875.34399414063;1;3947.14770507813;1;4818.0830078125;1;4790.078125;1;4815.89892578125;1;4660.45703125;1;4504.4765625;1;4628.11279296875
2;197.663436889648;2;202.55973815918;2;179.521697998047;2;198.218795776367;2;202.865936279297;2;179.833160400391;2;812.225646972656;2;805.018493652344;2;818.548156738281;2;811.774658203125;2;803.793151855469;2;815.932006835938;2;1987.54333496094;2;1998.22509765625;2;1983.15466308594;2;1991.56762695313;2;1997.70104980469;2;1980.76232910156;2;3167.05908203125;2;3209.32177734375;2;3187.27807617188;2;3162.51782226563;2;3181.25854492188;2;3180.72998046875;2;3595.67138671875;2;3594.37768554688;2;3588.98681640625;2;3587.88623046875;2;3521.9677734375;2;3575.61743164063;2;4015.8486328125;2;4010.7705078125;2;3997.89697265625;2;3986.35815429688;2;3878.56982421875;2;3949.60327148438;2;4815.1904296875;2;4787.955078125;2;4813.39404296875;2;4660.45703125;2;4504.4765625;2;4628.11279296875
3;197.827239990234;3;202.678573608398;3;179.679214477539;3;198.135391235352;3;202.776626586914;3;179.769943237305;3;811.837768554688;3;804.292053222656;3;818.4384765625;3;811.566772460938;3;803.824340820313;3;817.451599121094;3;1973.06823730469;3;1993.82055664063;3;1980.53051757813;3;1972.11145019531;3;1991.82885742188;3;1978.05151367188;3;3169.58959960938;3;3213.40600585938;3;3191.32885742188;3;3163.216796875;3;3183.42895507813;3;3182.921875;3;3600.82666015625;3;3599.796875;3;3594.1943359375;3;3594.20263671875;3;3527.85180664063;3;3582.71508789063;3;4018.27954101563;3;4012.44287109375;3;3999.38525390625;3;3988.62890625;3;3879.44482421875;3;3951.36645507813;3;4814.966796875;3;4786.8974609375;3;4812.6103515625;3;4659.56494140625;3;4503.09912109375;3;4627.484375
4;197.707580566406;4;202.531921386719;4;179.578918457031;4;198.239196777344;4;202.912628173828;4;179.885681152344;4;812.523010253906;4;805.096374511719;4;819.202514648438;4;812.241333007813;4;804.643432617188;4;818.296997070313;4;1974.52172851563;4;1998.37622070313;4;1985.86608886719;4;1971.54602050781;4;1993.43176269531;4;1978.69274902344;4;3180.83862304688;4;3213.63354492188;4;3189.19555664063;4;3173.11181640625;4;3185.51391601563;4;3184.0244140625;4;3594.25854492188;4;3593.38940429688;4;3588.0927734375;4;3587.0703125;4;3521.61328125;4;3575.17797851563;4;4017.77880859375;4;4011.29956054688;4;3999.10668945313;4;3988.48876953125;4;3878.4013671875;4;3951.11987304688;4;4815.91748046875;4;4787.00439453125;4;4813.2705078125;4;4660.88818359375;4;4503.40087890625;4;4627.92529296875
5;197.749786376953;5;202.609298706055;5;179.653213500977;5;198.239196777344;5;202.912628173828;5;179.885681152344;5;811.619445800781;5;804.141540527344;5;818.410400390625;5;811.329040527344;5;803.837768554688;5;817.729248046875;5;1973.65502929688;5;2007.59069824219;5;2012.55993652344;5;1971.6484375;5;2004.46752929688;5;2006.23986816406;5;3205.24926757813;5;3221.45825195313;5;3189.31982421875;5;3196.98193359375;5;3189.62060546875;5;3181.2978515625;5;3598.69604492188;5;3597.80981445313;5;3592.14111328125;5;3592.2041015625;5;3525.10791015625;5;3579.80981445313;5;4015.896484375;5;4010.24560546875;5;3998.18579101563;5;3990.48266601563;5;3878.38598632813;5;3950.3369140625;5;4814.46533203125;5;4789.515625;5;4796.4375;5;4658.92919921875;5;4507.9814453125;5;4614.55859375
6;197.701019287109;6;202.518417358398;6;179.593551635742;6;198.166763305664;6;202.787734985352;6;179.832702636719;6;812.931213378906;6;805.331970214844;6;819.843444824219;6;812.562866210938;6;804.635498046875;6;818.627685546875;6;1976.43493652344;6;2009.62377929688;6;2018.04602050781;6;1973.40222167969;6;2006.31994628906;6;2013.94677734375;6;3213.85375976563;6;3207.537109375;6;3186.89672851563;6;3210.39111328125;6;3185.59008789063;6;3183.83178710938;6;3584.1337890625;6;3582.69262695313;6;3576.88110351563;6;3578.23315429688;6;3513.42431640625;6;3565.35083007813;6;4019.8427734375;6;4010.89208984375;6;3997.93115234375;6;3990.48266601563;6;3878.38598632813;6;3950.3369140625;6;4816.9765625;6;4783.291015625;6;4786.56494140625;6;4661.11962890625;6;4503.14111328125;6;4606.82666015625
7;197.701019287109;7;202.518417358398;7;179.593551635742;7;198.254333496094;7;202.852249145508;7;179.883651733398;7;810.754699707031;7;803.398559570313;7;817.755859375;7;811.029602050781;7;803.429748535156;7;817.387268066406;7;1978.30151367188;7;2011.47534179688;7;2020.42407226563;7;1976.09521484375;7;2008.70251464844;7;2016.7822265625;7;3203.12451171875;7;3175.66088867188;7;3176.42504882813;7;3198.43188476563;7;3147.16064453125;7;3169.55102539063;7;3588.12817382813;7;3585.06396484375;7;3582.53442382813;7;3580.53588867188;7;3513.923828125;7;3569.61352539063;7;3991.70092773438;7;3999.20458984375;7;3995.37670898438;7;3967.93823242188;7;3869.705078125;7;3947.85180664063;7;4816.9765625;7;4783.291015625;7;4786.56494140625;7;4662.357421875;7;4503.80908203125;7;4608.13720703125
8;197.590911865234;8;202.354095458984;8;179.494247436523;8;198.074890136719;8;202.650909423828;8;179.741836547852;8;811.954040527344;8;804.528381347656;8;819.004943847656;8;811.246459960938;8;803.509948730469;8;817.551818847656;8;1978.14099121094;8;2011.50769042969;8;2020.55126953125;8;1976.04467773438;8;2009.2265625;8;2016.98449707031;8;3200.2841796875;8;3172.23193359375;8;3175.34838867188;8;3196.0302734375;8;3144.677734375;8;3170.01733398438;8;3597.75146484375;8;3594.15087890625;8;3592.06591796875;8;3590.13598632813;8;3521.67236328125;8;3579.2958984375;8;3991.70092773438;8;3999.20458984375;8;3995.37670898438;8;3938.84301757813;8;3859.921875;8;3943.32763671875;8;4815.90576171875;8;4781.54443359375;8;4786.205078125;8;4659.78857421875;8;4501.71875;8;4606.44482421875
9;197.590911865234;9;202.354095458984;9;179.494247436523;9;198.069610595703;9;202.689468383789;9;179.773529052734;9;812.254516601563;9;804.839233398438;9;819.125732421875;9;812.060302734375;9;804.292907714844;9;818.25;9;1978.57849121094;9;2011.736328125;9;2020.46594238281;9;1976.3466796875;9;2009.37438964844;9;2016.802734375;9;3201.33935546875;9;3173.51416015625;9;3176.81762695313;9;3195.71606445313;9;3143.88037109375;9;3169.24438476563;9;3597.75146484375;9;3594.15087890625;9;3592.06591796875;9;3584.31201171875;9;3517.14233398438;9;3573.9345703125;9;3962.50537109375;9;3988.88793945313;9;3991.84912109375;9;3938.84301757813;9;3859.921875;9;3943.32763671875;9;4815.36865234375;9;4782.92919921875;9;4786.1767578125;9;4659.82470703125;9;4502.83349609375;9;4606.5
