05_L1_K3_t;05_L1_K3_I;05_L2_K3_t;05_L2_K3_I;05_L3_K3_t;05_L3_K3_I;05_L1_PAC1_t;05_L1_PAC1_I;05_L2_PAC1_t;05_L2_PAC1_I;05_L3_PAC1_t;05_L3_PAC1_I;05_L1_PAC2_t;05_L1_PAC2_I;05_L2_PAC2_t;05_L2_PAC2_I;05_L3_PAC2_t;05_L3_PAC2_I;05_L1_Rogowsikeinspeisung_t;05_L1_Rogowsikeinspeisung_I;05_L2_Rogowsikeinspeisung_t;05_L2_Rogowsikeinspeisung_I;05_L3_Rogowsikeinspeisung_t;05_L3_Rogowsikeinspeisung_I;20_L1_K3_t;20_L1_K3_I;20_L2_K3_t;20_L2_K3_I;20_L3_K3_t;20_L3_K3_I;20_L1_PAC1_t;20_L1_PAC1_I;20_L2_PAC1_t;20_L2_PAC1_I;20_L3_PAC1_t;20_L3_PAC1_I;20_L1_PAC2_t;20_L1_PAC2_I;20_L2_PAC2_t;20_L2_PAC2_I;20_L3_PAC2_t;20_L3_PAC2_I;20_L1_Rogowsikeinspeisung_t;20_L1_Rogowsikeinspeisung_I;20_L2_Rogowsikeinspeisung_t;20_L2_Rogowsikeinspeisung_I;20_L3_Rogowsikeinspeisung_t;20_L3_Rogowsikeinspeisung_I;50_L1_K3_t;50_L1_K3_I;50_L2_K3_t;50_L2_K3_I;50_L3_K3_t;50_L3_K3_I;50_L1_PAC1_t;50_L1_PAC1_I;50_L2_PAC1_t;50_L2_PAC1_I;50_L3_PAC1_t;50_L3_PAC1_I;50_L1_PAC2_t;50_L1_PAC2_I;50_L2_PAC2_t;50_L2_PAC2_I;50_L3_PAC2_t;50_L3_PAC2_I;50_L1_Rogowsikeinspeisung_t;50_L1_Rogowsikeinspeisung_I;50_L2_Rogowsikeinspeisung_t;50_L2_Rogowsikeinspeisung_I;50_L3_Rogowsikeinspeisung_t;50_L3_Rogowsikeinspeisung_I;80_L1_K3_t;80_L1_K3_I;80_L2_K3_t;80_L2_K3_I;80_L3_K3_t;80_L3_K3_I;80_L1_PAC1_t;80_L1_PAC1_I;80_L2_PAC1_t;80_L2_PAC1_I;80_L3_PAC1_t;80_L3_PAC1_I;80_L1_PAC2_t;80_L1_PAC2_I;80_L2_PAC2_t;80_L2_PAC2_I;80_L3_PAC2_t;80_L3_PAC2_I;80_L1_Rogowsikeinspeisung_t;80_L1_Rogowsikeinspeisung_I;80_L2_Rogowsikeinspeisung_t;80_L2_Rogowsikeinspeisung_I;80_L3_Rogowsikeinspeisung_t;80_L3_Rogowsikeinspeisung_I;90_L1_K3_t;90_L1_K3_I;90_L2_K3_t;90_L2_K3_I;90_L3_K3_t;90_L3_K3_I;90_L1_PAC1_t;90_L1_PAC1_I;90_L2_PAC1_t;90_L2_PAC1_I;90_L3_PAC1_t;90_L3_PAC1_I;90_L1_PAC2_t;90_L1_PAC2_I;90_L2_PAC2_t;90_L2_PAC2_I;90_L3_PAC2_t;90_L3_PAC2_I;90_L1_Rogowsikeinspeisung_t;90_L1_Rogowsikeinspeisung_I;90_L2_Rogowsikeinspeisung_t;90_L2_Rogowsikeinspeisung_I;90_L3_Rogowsikeinspeisung_t;90_L3_Rogowsikeinspeisung_I;100_L1_K3_t;100_L1_K3_I;100_L2_K3_t;100_L2_K3_I;100_L3_K3_t;100_L3_K3_I;100_L1_PAC1_t;100_L1_PAC1_I;100_L2_PAC1_t;100_L2_PAC1_I;100_L3_PAC1_t;100_L3_PAC1_I;100_L1_PAC2_t;100_L1_PAC2_I;100_L2_PAC2_t;100_L2_PAC2_I;100_L3_PAC2_t;100_L3_PAC2_I;100_L1_Rogowsikeinspeisung_t;100_L1_Rogowsikeinspeisung_I;100_L2_Rogowsikeinspeisung_t;100_L2_Rogowsikeinspeisung_I;100_L3_Rogowsikeinspeisung_t;100_L3_Rogowsikeinspeisung_I;120_L1_K3_t;120_L1_K3_I;120_L2_K3_t;120_L2_K3_I;120_L3_K3_t;120_L3_K3_I;120_L1_PAC1_t;120_L1_PAC1_I;120_L2_PAC1_t;120_L2_PAC1_I;120_L3_PAC1_t;120_L3_PAC1_I;120_L1_PAC2_t;120_L1_PAC2_I;120_L2_PAC2_t;120_L2_PAC2_I;120_L3_PAC2_t;120_L3_PAC2_I;120_L1_Rogowsikeinspeisung_t;120_L1_Rogowsikeinspeisung_I;120_L2_Rogowsikeinspeisung_t;120_L2_Rogowsikeinspeisung_I;120_L3_Rogowsikeinspeisung_t;120_L3_Rogowsikeinspeisung_I
83;203.125;83;213.541656494141;83;192.70832824707;83;204.43815612793;83;219.865478515625;83;207.241455078125;83;204.385192871094;83;220.518692016602;83;207.657531738281;83;198.206024169922;83;228.587966918945;83;198.206024169922;83;812.5;83;822.916687011719;83;772.569458007813;83;815.542114257813;83;834.9091796875;83;778.116638183594;83;814.166687011719;83;779.804382324219;83;778.628356933594;83;805.844909667969;83;847.800903320313;83;805.844909667969;83;2015.625;83;1986.11108398438;83;1970.48608398438;83;2002.41345214844;83;1993.96643066406;83;2014.5380859375;83;1998.23620605469;83;2007.84155273438;83;2014.02233886719;83;1980.61352539063;83;2012.44226074219;83;1980.61352539063;83;3216.14599609375;83;3200.52075195313;83;3190.10424804688;83;3194.20043945313;83;3205.74243164063;83;3202.01806640625;83;3187.0107421875;83;3208.27490234375;83;3199.71044921875;83;3162.61547851563;83;3229.16650390625;83;3162.61547851563;83;3635.41674804688;83;3600.6943359375;83;3579.86108398438;83;3610.7529296875;83;3607.25366210938;83;3591.57397460938;83;3602.87231445313;83;3608.31640625;83;3588.97143554688;83;3574.94213867188;83;3634.25952148438;83;3574.94213867188;83;4041.66674804688;83;4008.68041992188;83;4002.60400390625;83;4015.16479492188;83;4045.61206054688;83;4012.17919921875;83;4007.90795898438;83;3986.59887695313;83;4009.34033203125;83;3977.14111328125;83;4068.287109375;83;3977.14111328125;83;4843.75;83;4812.5;83;4778.64599609375;83;4807.849609375;83;4819.77001953125;83;4789.064453125;83;4782.51025390625;83;4807.84033203125;83;5150.04443359375;83;4762.7314453125;83;5059.3173828125;83;4762.7314453125
84;203.993057250977;84;213.541656494141;84;192.70832824707;84;204.463363647461;84;219.864410400391;84;207.278396606445;84;204.45524597168;84;220.49626159668;84;207.703811645508;84;198.206024169922;84;230.034713745117;84;198.206024169922;84;809.02783203125;84;814.236145019531;84;765.625;84;815.47216796875;84;834.951477050781;84;778.746887207031;84;813.996520996094;84;779.787902832031;84;778.960754394531;84;805.844909667969;84;844.907409667969;84;805.844909667969;84;2014.7568359375;84;1985.24304199219;84;1970.48608398438;84;2002.58544921875;84;1993.84228515625;84;2015.31188964844;84;1998.06408691406;84;2007.474609375;84;2014.15588378906;84;1984.95373535156;84;2010.99523925781;84;1984.95373535156;84;3214.40966796875;84;3199.65283203125;84;3189.236328125;84;3193.8154296875;84;3207.36206054688;84;3202.0439453125;84;3187.0107421875;84;3208.38110351563;84;3199.685546875;84;3162.61547851563;84;3233.50708007813;84;3162.61547851563;84;3635.41674804688;84;3599.82641601563;84;3578.9931640625;84;3611.3232421875;84;3608.18017578125;84;3591.94213867188;84;3604.05224609375;84;3607.662109375;84;3588.73657226563;84;3781.82861328125;84;3634.25952148438;84;3781.82861328125;84;4033.85424804688;84;3977.4306640625;84;3999.1318359375;84;4020.07666015625;84;3984.63403320313;84;4012.17919921875;84;4012.03833007813;84;3986.86840820313;84;4009.18920898438;84;3978.587890625;84;4068.287109375;84;3978.587890625;84;4843.75;84;4813.3681640625;84;4779.513671875;84;4807.849609375;84;4819.77001953125;84;4789.43359375;84;4795.28369140625;84;4808.50048828125;84;5145.55859375;84;4762.7314453125;84;5059.3173828125;84;4762.7314453125
85;203.125;85;213.541656494141;85;192.70832824707;85;204.516738891602;85;219.817581176758;85;207.307083129883;85;204.487167358398;85;220.550369262695;85;207.732330322266;85;198.206024169922;85;230.034713745117;85;198.206024169922;85;800.347229003906;85;765.625;85;755.208312988281;85;815.690246582031;85;806.774047851563;85;779.01123046875;85;814.265686035156;85;780.0283203125;85;779.167114257813;85;805.844909667969;85;844.907409667969;85;805.844909667969;85;2016.4931640625;85;1999.13195800781;85;1998.26391601563;85;2003.24426269531;85;1999.55639648438;85;2014.99768066406;85;1998.30651855469;85;2007.22216796875;85;2013.78295898438;85;1984.95373535156;85;2010.99523925781;85;1984.95373535156;85;3217.01391601563;85;3199.65283203125;85;3190.10424804688;85;3193.8154296875;85;3206.41918945313;85;3202.09448242188;85;3187.0908203125;85;3208.5576171875;85;3199.88598632813;85;3162.61547851563;85;3233.50708007813;85;3162.61547851563;85;3635.41674804688;85;3598.09033203125;85;3578.9931640625;85;3611.71313476563;85;3607.19775390625;85;3606.1279296875;85;3603.1748046875;85;3620.36474609375;85;3609.21411132813;85;3577.83544921875;85;3634.25952148438;85;3577.83544921875;85;4033.85424804688;85;3977.4306640625;85;4000.0;85;4021.13793945313;85;3984.63403320313;85;4013.14624023438;85;4013.083984375;85;3987.53051757813;85;4009.81616210938;85;3978.587890625;85;4068.287109375;85;3978.587890625;85;4843.75;85;4813.3681640625;85;4778.64599609375;85;4809.24169921875;85;4820.0380859375;85;4789.9287109375;85;4795.5517578125;85;4809.73095703125;85;5143.857421875;85;4762.7314453125;85;5057.8701171875;85;4762.7314453125
86;203.993057250977;86;213.541656494141;86;192.70832824707;86;204.531692504883;86;219.849349975586;86;207.273559570313;86;204.487167358398;86;220.511505126953;86;207.665908813477;86;198.206024169922;86;231.481475830078;86;198.206024169922;86;800.347229003906;86;765.625;86;756.076354980469;86;815.863342285156;86;778.610168457031;86;779.084167480469;86;814.418579101563;86;779.914978027344;86;779.309814453125;86;798.611145019531;86;820.3125;86;798.611145019531;86;2018.22924804688;86;1998.26391601563;86;1999.13195800781;86;2002.77880859375;86;2006.71374511719;86;2014.98657226563;86;1997.63415527344;86;2007.31518554688;86;2013.97802734375;86;1982.06018066406;86;2016.78247070313;86;1982.06018066406;86;3216.14599609375;86;3198.78466796875;86;3189.236328125;86;3194.29052734375;86;3206.41918945313;86;3201.16674804688;86;3187.0908203125;86;3207.25341796875;86;3198.72021484375;86;3162.61547851563;86;3666.087890625;86;3162.61547851563;86;3635.41674804688;86;3597.22216796875;86;3578.9931640625;86;3611.26953125;86;3606.1953125;86;3618.69384765625;86;3603.43603515625;86;3621.40625;86;3615.59887695313;86;3574.94213867188;86;3634.25952148438;86;3574.94213867188;86;4032.986328125;86;3978.29858398438;86;4000.0;86;4006.76196289063;86;3985.904296875;86;4013.14624023438;86;4004.3583984375;86;3987.53100585938;86;4009.4150390625;86;3967.01391601563;86;4013.31005859375;86;3967.01391601563;86;4844.6181640625;86;4813.3681640625;86;4778.64599609375;86;4809.24169921875;86;4820.0380859375;86;4790.03125;86;4794.58935546875;86;4810.5185546875;86;5149.51025390625;86;4762.7314453125;86;5057.8701171875;86;4762.7314453125
87;203.125;87;213.541656494141;87;192.70832824707;87;204.472747802734;87;219.835601806641;87;207.206848144531;87;204.420989990234;87;220.528625488281;87;207.623886108398;87;198.206024169922;87;231.481475830078;87;198.206024169922;87;800.347229003906;87;765.625;87;756.076354980469;87;810.393676757813;87;778.758056640625;87;787.143920898438;87;807.283813476563;87;785.26513671875;87;791.734191894531;87;798.611145019531;87;820.3125;87;798.611145019531;87;2018.22924804688;87;1998.26391601563;87;2000.0;87;2003.18798828125;87;2006.40588378906;87;2015.13220214844;87;1998.83288574219;87;2007.06103515625;87;2013.96630859375;87;1982.06018066406;87;2016.78247070313;87;1982.06018066406;87;3216.14599609375;87;3199.65283203125;87;3189.236328125;87;3194.466796875;87;3206.64306640625;87;3201.5908203125;87;3187.49536132813;87;3207.30249023438;87;3199.11303710938;87;3162.61547851563;87;3666.087890625;87;3162.61547851563;87;3633.68041992188;87;3609.375;87;3591.14599609375;87;3611.45776367188;87;3605.40283203125;87;3618.27392578125;87;3603.2490234375;87;3621.37280273438;87;3615.43139648438;87;3574.94213867188;87;3634.25952148438;87;3574.94213867188;87;4033.85424804688;87;3979.16650390625;87;4000.8681640625;87;4006.76196289063;87;3985.904296875;87;4012.86840820313;87;3997.86840820313;87;3987.6318359375;87;4009.62158203125;87;3967.01391601563;87;4013.31005859375;87;3967.01391601563;87;4845.48583984375;87;4815.10400390625;87;4778.64599609375;87;4809.93408203125;87;4821.04345703125;87;4789.5302734375;87;4795.14501953125;87;4810.5185546875;87;5149.51025390625;87;4762.7314453125;87;5060.76416015625;87;4762.7314453125
88;203.125;88;213.541656494141;88;192.70832824707;88;204.464447021484;88;219.887481689453;88;207.228179931641;88;204.423645019531;88;220.523742675781;88;207.642242431641;88;198.206024169922;88;231.481475830078;88;198.206024169922;88;800.347229003906;88;765.625;88;756.076354980469;88;803.9287109375;88;778.989501953125;88;808.525817871094;88;802.294616699219;88;791.482299804688;88;808.9111328125;88;792.824096679688;88;789.930541992188;88;792.824096679688;88;2016.4931640625;88;1998.26391601563;88;1999.13195800781;88;2005.40942382813;88;2006.09252929688;88;2015.02258300781;88;2000.87426757813;88;2006.55346679688;88;2014.09912109375;88;1984.95373535156;88;2024.01623535156;88;1984.95373535156;88;3215.27758789063;88;3198.78466796875;88;3189.236328125;88;3194.466796875;88;3206.8125;88;3201.13134765625;88;3188.4736328125;88;3207.95336914063;88;3198.419921875;88;3330.43994140625;88;3366.60888671875;88;3330.43994140625;88;3638.02099609375;88;3611.111328125;88;3605.90283203125;88;3611.7890625;88;3615.17309570313;88;3618.8447265625;88;3603.84423828125;88;3622.68408203125;88;3615.93701171875;88;3574.94213867188;88;3635.7060546875;88;3574.94213867188;88;4033.85424804688;88;3978.29858398438;88;4000.8681640625;88;4005.900390625;88;3986.54541015625;88;4013.96264648438;88;3998.068359375;88;3987.6318359375;88;4009.62158203125;88;3965.56713867188;88;4016.20361328125;88;3965.56713867188;88;4843.75;88;4815.10400390625;88;4778.64599609375;88;4809.93408203125;88;4821.60693359375;88;4789.67578125;88;4795.76611328125;88;4809.64208984375;88;5147.609375;88;4762.7314453125;88;5060.76416015625;88;4762.7314453125
89;203.125;89;213.541656494141;89;192.70832824707;89;204.481857299805;89;219.866119384766;89;207.233901977539;89;204.437530517578;89;220.514175415039;89;207.657913208008;89;198.206024169922;89;228.587966918945;89;198.206024169922;89;799.479187011719;89;767.361145019531;89;756.944396972656;89;803.626892089844;89;778.880615234375;89;808.992492675781;89;802.229553222656;89;791.0341796875;89;809.163330078125;89;792.824096679688;89;789.930541992188;89;792.824096679688;89;2017.36108398438;89;1998.26391601563;89;2000.0;89;2006.060546875;89;2006.0849609375;89;2015.14331054688;89;2001.38232421875;89;2006.28784179688;89;2014.21240234375;89;1984.95373535156;89;2024.01623535156;89;1984.95373535156;89;3216.14599609375;89;3197.04858398438;89;3189.236328125;89;3196.01391601563;89;3206.09057617188;89;3201.38598632813;89;3188.39672851563;89;3208.78393554688;89;3199.26025390625;89;3330.43994140625;89;3230.61352539063;89;3330.43994140625;89;3638.02099609375;89;3611.111328125;89;3605.03491210938;89;3611.7138671875;89;3619.76000976563;89;3619.04150390625;89;3603.568359375;89;3621.94262695313;89;3615.83422851563;89;3574.94213867188;89;3635.7060546875;89;3574.94213867188;89;4034.72216796875;89;3978.29858398438;89;4000.8681640625;89;4005.900390625;89;3986.54541015625;89;4014.69848632813;89;3997.96508789063;89;3988.43676757813;89;4011.2490234375;89;3965.56713867188;89;4017.650390625;89;3965.56713867188;89;4844.6181640625;89;4815.97216796875;89;4778.64599609375;89;4810.5810546875;89;4821.9931640625;89;4789.40283203125;89;4796.7373046875;89;4804.17529296875;89;5142.87060546875;89;4764.17822265625;89;5060.76416015625;89;4764.17822265625
90;203.125;90;213.541656494141;90;193.576385498047;90;204.493865966797;90;219.866363525391;90;207.2470703125;90;204.453689575195;90;220.517318725586;90;207.671997070313;90;198.206024169922;90;230.034713745117;90;198.206024169922;90;803.819396972656;90;777.777770996094;90;786.458374023438;90;803.497192382813;90;782.622619628906;90;809.060241699219;90;802.166320800781;90;791.060180664063;90;809.198364257813;90;792.824096679688;90;791.377380371094;90;792.824096679688;90;2018.22924804688;90;1997.39587402344;90;1999.13195800781;90;2005.49072265625;90;2005.93322753906;90;2015.09484863281;90;2000.73388671875;90;2006.21081542969;90;2013.9560546875;90;1986.40051269531;90;2024.01623535156;90;1986.40051269531;90;3216.14599609375;90;3198.78466796875;90;3188.36791992188;90;3195.06518554688;90;3205.28662109375;90;3201.7470703125;90;3187.244140625;90;3207.88891601563;90;3199.3154296875;90;3187.21044921875;90;3230.61352539063;90;3187.21044921875;90;3638.02099609375;90;3610.24291992188;90;3605.90283203125;90;3611.9912109375;90;3619.205078125;90;3618.70849609375;90;3604.95849609375;90;3621.74072265625;90;3615.84375;90;3577.83544921875;90;3647.28002929688;90;3577.83544921875;90;4035.59008789063;90;3978.29858398438;90;4002.60400390625;90;4006.79028320313;90;3985.85620117188;90;4014.3046875;90;3998.87768554688;90;3989.07983398438;90;4010.88134765625;90;3967.01391601563;90;4014.75708007813;90;3967.01391601563;90;4843.75;90;4815.10400390625;90;4778.64599609375;90;4811.02587890625;90;4821.0546875;90;4778.16455078125;90;4796.716796875;90;4754.75341796875;90;5128.89697265625;90;4764.17822265625;90;5060.76416015625;90;4764.17822265625
91;203.125;91;213.541656494141;91;193.576385498047;91;204.449493408203;91;219.853897094727;91;207.244400024414;91;204.398239135742;91;220.59016418457;91;207.654159545898;91;198.206024169922;91;230.034713745117;91;198.206024169922;91;804.6875;91;776.909729003906;91;787.326416015625;91;803.416564941406;91;790.447448730469;91;808.884948730469;91;801.950622558594;91;791.037719726563;91;808.959655761719;91;792.824096679688;91;791.377380371094;91;792.824096679688;91;2018.22924804688;91;1996.52783203125;91;1999.13195800781;91;2005.04541015625;91;2005.41174316406;91;2014.97937011719;91;2000.35815429688;91;2005.41491699219;91;2013.74572753906;91;1986.40051269531;91;2022.56945800781;91;1986.40051269531;91;3215.27758789063;91;3200.52075195313;91;3187.5;91;3194.6044921875;91;3206.05712890625;91;3201.65625;91;3187.40893554688;91;3207.86328125;91;3199.89575195313;91;3187.21044921875;91;3232.06005859375;91;3187.21044921875;91;3638.02099609375;91;3612.84716796875;91;3605.90283203125;91;3614.12573242188;91;3620.0888671875;91;3618.5732421875;91;3606.4638671875;91;3621.70166015625;91;3615.46997070313;91;3577.83544921875;91;3647.28002929688;91;3577.83544921875;91;4034.72216796875;91;3979.16650390625;91;4002.60400390625;91;4006.79028320313;91;3987.11840820313;91;4014.46606445313;91;3998.4580078125;91;3988.92041015625;91;4010.947265625;91;3967.01391601563;91;4014.75708007813;91;3967.01391601563;91;4844.6181640625;91;4814.236328125;91;4779.513671875;91;4810.32275390625;91;4821.71533203125;91;4779.826171875;91;4795.85546875;91;4753.58447265625;91;5140.7822265625;91;4942.12939453125;91;5059.3173828125;91;4942.12939453125
92;203.125;92;213.541656494141;92;193.576385498047;92;204.410415649414;92;219.832244873047;92;206.709213256836;92;204.390838623047;92;219.61198425293;92;205.013595581055;92;198.206024169922;92;231.481475830078;92;198.206024169922;92;804.6875;92;777.777770996094;92;787.326416015625;92;804.113891601563;92;790.07080078125;92;808.966796875;92;803.349365234375;92;791.452209472656;92;809.188781738281;92;795.717590332031;92;800.057861328125;92;795.717590332031;92;2016.4931640625;92;1997.39587402344;92;1999.13195800781;92;2005.13549804688;92;2005.00207519531;92;2014.84875488281;92;2000.46704101563;92;2005.51245117188;92;2013.88879394531;92;1983.50695800781;92;2024.01623535156;92;1983.50695800781;92;3214.40966796875;92;3199.65283203125;92;3188.36791992188;92;3195.27978515625;92;3207.330078125;92;3201.54907226563;92;3187.99536132813;92;3207.6328125;92;3199.04077148438;92;3162.61547851563;92;3230.61352539063;92;3162.61547851563;92;3637.15258789063;92;3611.111328125;92;3605.03491210938;92;3614.10717773438;92;3619.83764648438;92;3618.81469726563;92;3605.81689453125;92;3621.583984375;92;3615.77124023438;92;3577.83544921875;92;3647.28002929688;92;3577.83544921875;92;4033.85424804688;92;3979.16650390625;92;4002.60400390625;92;4006.43188476563;92;3987.859375;92;4013.24584960938;92;3998.6865234375;92;3988.140625;92;4009.58154296875;92;3967.01391601563;92;4017.650390625;92;3967.01391601563;92;4843.75;92;4792.53466796875;92;4769.09716796875;92;4809.8984375;92;4820.4619140625;92;4797.439453125;92;4795.85546875;92;4754.72705078125;92;5154.8525390625;92;4942.12939453125;92;5057.8701171875;92;4942.12939453125
93;203.125;93;213.541656494141;93;193.576385498047;93;204.494964599609;93;219.880859375;93;178.328491210938;93;204.468704223633;93;208.728500366211;93;175.209732055664;93;198.206024169922;93;231.481475830078;93;198.206024169922;93;803.819396972656;93;777.777770996094;93;786.458374023438;93;807.285949707031;93;790.043640136719;93;808.744445800781;93;805.993591308594;93;791.353271484375;93;808.878234863281;93;795.717590332031;93;800.057861328125;93;795.717590332031;93;2016.4931640625;93;1995.65966796875;93;2000.0;93;2005.24694824219;93;2005.23364257813;93;2015.4853515625;93;2000.32263183594;93;2005.96044921875;93;2014.36975097656;93;1983.50695800781;93;2024.01623535156;93;1983.50695800781;93;3216.14599609375;93;3198.78466796875;93;3188.36791992188;93;3195.13842773438;93;3206.47973632813;93;3201.66088867188;93;3187.470703125;93;3208.34033203125;93;3199.32080078125;93;3162.61547851563;93;3230.61352539063;93;3162.61547851563;93;3636.28466796875;93;3611.111328125;93;3605.90283203125;93;3613.98461914063;93;3619.45434570313;93;3619.181640625;93;3605.99829101563;93;3621.79052734375;93;3615.94458007813;93;3577.83544921875;93;3647.28002929688;93;3577.83544921875;93;4034.72216796875;93;3979.16650390625;93;4003.47241210938;93;4007.30590820313;93;3987.25805664063;93;4012.39379882813;93;3998.6865234375;93;3987.53295898438;93;4009.05615234375;93;3967.01391601563;93;4016.20361328125;93;3967.01391601563;93;4828.9931640625;93;4756.076171875;93;4762.15283203125;93;4810.26416015625;93;4783.2685546875;93;4798.49267578125;93;4797.01318359375;93;4754.48486328125;93;5156.732421875;93;4816.26171875;93;5041.95654296875;93;4816.26171875
94;203.125;94;213.541656494141;94;192.70832824707;94;204.477432250977;94;219.918716430664;94;170.727096557617;94;204.46891784668;94;207.19140625;94;171.156402587891;94;198.206024169922;94;228.587966918945;94;198.206024169922;94;803.819396972656;94;777.777770996094;94;786.458374023438;94;807.239318847656;94;789.980224609375;94;808.829284667969;94;805.878540039063;94;791.275939941406;94;808.884887695313;94;795.717590332031;94;801.504638671875;94;795.717590332031;94;2017.36108398438;94;1995.65966796875;94;1999.13195800781;94;2005.30358886719;94;2004.41333007813;94;2014.26306152344;94;2000.34216308594;94;1998.10510253906;94;2012.58129882813;94;1983.50695800781;94;2184.6064453125;94;1983.50695800781;94;3216.14599609375;94;3198.78466796875;94;3188.36791992188;94;3194.04541015625;94;3206.44970703125;94;3202.015625;94;3186.35400390625;94;3208.42724609375;94;3199.81689453125;94;3162.61547851563;94;3232.06005859375;94;3162.61547851563;94;3636.28466796875;94;3611.111328125;94;3605.03491210938;94;3614.01782226563;94;3619.29565429688;94;3618.94506835938;94;3605.74975585938;94;3621.50268554688;94;3615.810546875;94;3576.38891601563;94;3647.28002929688;94;3576.38891601563;94;4033.85424804688;94;3980.03491210938;94;4002.60400390625;94;4006.56713867188;94;3987.755859375;94;4012.04614257813;94;3998.5283203125;94;3986.7451171875;94;4009.1767578125;94;3967.01391601563;94;4017.650390625;94;3967.01391601563;94;4831.59716796875;94;4761.28466796875;94;4781.25;94;4810.30419921875;94;4760.50390625;94;4799.25830078125;94;4796.1494140625;94;4754.89990234375;94;5159.22265625;94;4816.26171875;94;5041.95654296875;94;4816.26171875
95;199.652770996094;95;201.388885498047;95;161.45832824707;95;204.521591186523;95;219.763305664063;95;170.750946044922;95;204.512115478516;95;207.09033203125;95;171.117004394531;95;198.206024169922;95;228.587966918945;95;198.206024169922;95;802.951354980469;95;777.777770996094;95;786.458374023438;95;807.249084472656;95;790.385314941406;95;808.477783203125;95;805.859619140625;95;790.95458984375;95;808.54296875;95;795.717590332031;95;802.951354980469;95;795.717590332031;95;2017.36108398438;95;1997.39587402344;95;2000.0;95;2004.46069335938;95;2004.10266113281;95;2010.61486816406;95;1999.80383300781;95;1988.96667480469;95;2009.24963378906;95;1982.06018066406;95;2183.15966796875;95;1982.06018066406;95;3213.54174804688;95;3198.78466796875;95;3188.36791992188;95;3193.35400390625;95;3206.07177734375;95;3201.78442382813;95;3186.29296875;95;3207.56787109375;95;3200.04541015625;95;3162.61547851563;95;3230.61352539063;95;3162.61547851563;95;3635.41674804688;95;3611.111328125;95;3605.03491210938;95;3613.64770507813;95;3619.35546875;95;3618.94506835938;95;3605.40112304688;95;3621.47387695313;95;3615.39892578125;95;3576.38891601563;95;3647.28002929688;95;3576.38891601563;95;4032.11791992188;95;3979.16650390625;95;4000.8681640625;95;4007.06884765625;95;3986.75903320313;95;4012.59936523438;95;3998.85278320313;95;3986.8935546875;95;4009.9658203125;95;3967.01391601563;95;4016.20361328125;95;3967.01391601563;95;4831.59716796875;95;4759.548828125;95;4786.45849609375;95;4803.88134765625;95;4766.80029296875;95;4798.7978515625;95;4785.81396484375;95;4756.3740234375;95;5159.40234375;95;4748.26416015625;95;5000.0;95;4748.26416015625
96;199.652770996094;96;199.652770996094;96;154.513885498047;96;204.458877563477;96;209.204345703125;96;170.589721679688;96;204.431137084961;96;206.866333007813;96;170.97297668457;96;198.206024169922;96;219.907409667969;96;198.206024169922;96;802.951354980469;96;777.777770996094;96;787.326416015625;96;806.988342285156;96;790.307800292969;96;808.83984375;96;805.569519042969;96;790.934936523438;96;809.097778320313;96;795.717590332031;96;801.504638671875;96;795.717590332031;96;2003.47229003906;96;1987.84716796875;96;1998.26391601563;96;2004.25671386719;96;2004.92687988281;96;2010.18542480469;96;1999.60034179688;96;1989.45874023438;96;2009.18432617188;96;2055.84497070313;96;2026.90979003906;96;2055.84497070313;96;3216.14599609375;96;3199.65283203125;96;3190.10424804688;96;3194.8505859375;96;3206.4013671875;96;3201.47436523438;96;3187.06909179688;96;3207.408203125;96;3199.04077148438;96;3162.61547851563;96;3234.95361328125;96;3162.61547851563;96;3636.28466796875;96;3610.24291992188;96;3605.90283203125;96;3613.00048828125;96;3619.76684570313;96;3619.35522460938;96;3604.869140625;96;3621.57934570313;96;3615.62719726563;96;3576.38891601563;96;3647.28002929688;96;3576.38891601563;96;4032.11791992188;96;3978.29858398438;96;4000.0;96;4007.033203125;96;3986.65112304688;96;4013.57055664063;96;3998.43725585938;96;3987.81201171875;96;4010.23901367188;96;3967.01391601563;96;4017.650390625;96;3967.01391601563;96;4831.59716796875;96;4761.28466796875;96;4788.1943359375;96;4795.365234375;96;4766.0634765625;96;4801.16796875;96;4781.55419921875;96;4756.970703125;96;5156.67529296875;96;4748.26416015625;96;5000.0;96;4748.26416015625
