05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
0;147.950698852539;0;154.559356689453;0;137.005081176758;0;148.297698974609;0;155.034103393555;0;137.529769897461;0;576.880065917969;0;568.190246582031;0;592.273620605469;0;577.041320800781;0;569.085205078125;0;593.833801269531;0;1527.08801269531;0;1501.27661132813;0;1501.82006835938;0;1524.24890136719;0;1499.96569824219;0;1504.19909667969;0;2406.39184570313;0;2394.19287109375;0;2395.8359375;0;2403.30712890625;0;2392.44970703125;0;2402.71411132813;0;2702.84130859375;0;2697.8115234375;0;2689.1533203125;0;2698.16430664063;0;2695.03857421875;0;2687.83422851563;0;2998.95361328125;0;2985.0166015625;0;2987.412109375;0;2993.32104492188;0;2981.87768554688;0;2984.70703125;0;3591.59155273438;0;3602.65991210938;0;3594.65283203125;0;3585.99584960938;0;3603.67626953125;0;3590.6552734375
1;147.978652954102;1;154.605224609375;1;137.013946533203;1;148.324127197266;1;155.094345092773;1;137.553741455078;1;576.401794433594;1;567.672180175781;1;591.684265136719;1;576.247985839844;1;568.263732910156;1;592.932495117188;1;1526.60986328125;1;1500.83215332031;1;1501.48901367188;1;1524.24890136719;1;1499.96569824219;1;1504.19909667969;1;2406.677734375;1;2394.38061523438;1;2395.9736328125;1;2402.03002929688;1;2391.69213867188;1;2402.22338867188;1;2703.55053710938;1;2698.49243164063;1;2689.876953125;1;2699.93383789063;1;2697.3076171875;1;2689.23461914063;1;2997.61669921875;1;2984.25659179688;1;2985.94360351563;1;2996.28173828125;1;2984.681640625;1;2986.86376953125;1;3591.58203125;1;3603.3173828125;1;3594.82983398438;1;3590.34741210938;1;3607.693359375;1;3595.45288085938
2;147.991744995117;2;154.646850585938;2;137.04313659668;2;148.313064575195;2;155.082565307617;2;137.581268310547;2;577.808715820313;2;569.069213867188;2;593.064758300781;2;576.418518066406;2;568.337768554688;2;592.880187988281;2;1526.64831542969;2;1501.14526367188;2;1501.39929199219;2;1524.04724121094;2;1500.3095703125;2;1504.28747558594;2;2406.18603515625;2;2393.81225585938;2;2395.71655273438;2;2402.10205078125;2;2391.84716796875;2;2402.3173828125;2;2705.7060546875;2;2700.97143554688;2;2691.88623046875;2;2699.15966796875;2;2696.00048828125;2;2688.83276367188;2;3001.779296875;2;2987.728515625;2;2989.525390625;2;2998.19995117188;2;2985.7119140625;2;2988.70629882813;2;3587.9892578125;2;3599.51586914063;2;3590.72998046875;2;3585.74829101563;2;3604.11962890625;2;3590.29516601563
3;148.006576538086;3;154.630661010742;3;137.058975219727;3;148.360992431641;3;155.111862182617;3;137.626937866211;3;577.805480957031;3;568.879516601563;3;593.012390136719;3;577.525146484375;3;569.482727050781;3;594.197204589844;3;1526.46643066406;3;1501.00793457031;3;1501.39208984375;3;1524.04724121094;3;1500.3095703125;3;1504.28747558594;3;2404.73779296875;3;2392.57739257813;3;2394.43017578125;3;2401.07348632813;3;2390.86865234375;3;2401.42797851563;3;2702.03295898438;3;2697.35107421875;3;2687.84155273438;3;2699.76733398438;3;2697.6083984375;3;2688.90649414063;3;3001.85424804688;3;2988.00634765625;3;2989.716796875;3;2996.96923828125;3;2984.96899414063;3;2987.5888671875;3;3590.00561523438;3;3602.23266601563;3;3593.373046875;3;3584.9365234375;3;3603.11376953125;3;3589.28930664063
4;148.03059387207;4;154.640243530273;4;137.087142944336;4;148.382888793945;4;155.127334594727;4;137.62841796875;4;578.293823242188;4;569.418579101563;4;593.551879882813;4;577.991271972656;4;569.81787109375;4;594.526306152344;4;1525.93518066406;4;1500.62744140625;4;1500.96765136719;4;1522.29113769531;4;1498.82263183594;4;1502.73376464844;4;2406.001953125;4;2393.23046875;4;2395.92333984375;4;2400.6025390625;4;2390.19775390625;4;2400.69873046875;4;2705.53466796875;4;2704.1787109375;4;2698.22436523438;4;2702.98779296875;4;2705.16748046875;4;2710.205078125;4;3001.85424804688;4;2988.00634765625;4;2989.716796875;4;2998.58642578125;4;2986.24633789063;4;2989.7001953125;4;3583.10473632813;4;3595.28442382813;4;3586.49145507813;4;3583.4130859375;4;3602.26928710938;4;3588.01220703125
5;148.063110351563;5;154.674285888672;5;137.093048095703;5;148.387847900391;5;155.138595581055;5;137.592468261719;5;577.748046875;5;568.812805175781;5;592.934814453125;5;577.991271972656;5;569.81787109375;5;594.526306152344;5;1524.6298828125;5;1499.54150390625;5;1498.96203613281;5;1522.48693847656;5;1499.03515625;5;1502.36511230469;5;2406.8837890625;5;2394.31469726563;5;2396.38427734375;5;2402.52954101563;5;2391.5234375;5;2401.865234375;5;2709.13818359375;5;2708.78076171875;5;2716.02612304688;5;2707.15893554688;5;2707.59033203125;5;2717.328125;5;3003.19702148438;5;2987.58349609375;5;2989.71459960938;5;2998.58764648438;5;2985.21215820313;5;2988.25;5;3591.56567382813;5;3603.3720703125;5;3594.62719726563;5;3585.02758789063;5;3603.22387695313;5;3589.27124023438
6;147.936172485352;6;154.58479309082;6;137.009948730469;6;148.316421508789;6;155.073638916016;6;137.565444946289;6;577.24560546875;6;568.380432128906;6;592.488037109375;6;576.602233886719;6;568.457885742188;6;593.151733398438;6;1525.05627441406;6;1500.0;6;1499.14416503906;6;1522.63110351563;6;1499.05895996094;6;1502.77844238281;6;2406.62866210938;6;2394.58740234375;6;2395.99682617188;6;2401.9931640625;6;2391.79565429688;6;2401.49462890625;6;2713.18139648438;6;2711.80151367188;6;2720.4794921875;6;2708.3876953125;6;2708.46484375;6;2718.38208007813;6;3000.5029296875;6;2986.23168945313;6;2987.0673828125;6;2997.26245117188;6;2984.06079101563;6;2986.41479492188;6;3592.55419921875;6;3606.3359375;6;3598.06005859375;6;3589.62109375;6;3609.1474609375;6;3595.44653320313
7;147.968383789063;7;154.600616455078;7;137.044403076172;7;148.279830932617;7;155.065811157227;7;137.563690185547;7;576.905334472656;7;567.966674804688;7;592.019470214844;7;576.673217773438;7;568.50244140625;7;593.178344726563;7;1525.75463867188;7;1500.44616699219;7;1499.61962890625;7;1522.021484375;7;1498.49987792969;7;1501.98620605469;7;2406.52075195313;7;2394.23315429688;7;2395.033203125;7;2401.9931640625;7;2391.79565429688;7;2401.49462890625;7;2711.17797851563;7;2709.44506835938;7;2718.43090820313;7;2706.98999023438;7;2707.57275390625;7;2717.56396484375;7;3002.90161132813;7;2988.20922851563;7;2989.474609375;7;2997.90893554688;7;2985.39379882813;7;2987.29833984375;7;3590.84790039063;7;3603.65576171875;7;3596.49633789063;7;3588.7412109375;7;3607.09130859375;7;3594.2919921875
8;147.990493774414;8;154.607604980469;8;137.046203613281;8;148.325347900391;8;155.089340209961;8;137.582656860352;8;577.661376953125;8;568.711608886719;8;592.818359375;8;580.362915039063;8;579.821472167969;8;596.144714355469;8;1523.28295898438;8;1498.34436035156;8;1497.15270996094;8;1512.98779296875;8;1493.73583984375;8;1499.9912109375;8;2404.82177734375;8;2392.30737304688;8;2392.65063476563;8;2399.79467773438;8;2388.97412109375;8;2398.32006835938;8;2712.0302734375;8;2710.76928710938;8;2719.26953125;8;2705.33325195313;8;2706.2744140625;8;2715.70654296875;8;3002.482421875;8;2987.72485351563;8;2989.28930664063;8;2998.64990234375;8;2985.43139648438;8;2987.837890625;8;3593.17138671875;8;3605.830078125;8;3597.80249023438;8;3591.162109375;8;3609.64282226563;8;3596.81616210938
9;148.009429931641;9;154.635665893555;9;137.077865600586;9;148.351791381836;9;155.101501464844;9;137.612716674805;9;587.782043457031;9;607.079528808594;9;601.652221679688;9;580.362915039063;9;579.821472167969;9;596.144714355469;9;1495.32141113281;9;1486.65649414063;9;1493.97668457031;9;1480.18469238281;9;1482.01940917969;9;1496.69677734375;9;2405.34814453125;9;2392.70629882813;9;2392.94848632813;9;2399.79467773438;9;2388.97412109375;9;2398.32006835938;9;2712.0302734375;9;2710.76928710938;9;2719.26953125;9;2708.18627929688;9;2708.82055664063;9;2719.2236328125;9;3002.0830078125;9;2987.67919921875;9;2988.6953125;9;2998.123046875;9;2985.61401367188;9;2987.60498046875;9;3594.66796875;9;3606.34594726563;9;3599.15234375;9;3591.162109375;9;3609.64282226563;9;3596.81616210938
