05_L1_t_Einspeisung;05_L1_I_Einspeisung;05_L2_t_Einspeisung;05_L2_I_Einspeisung;05_L3_t_Einspeisung;05_L3_I_Einspeisung;05_L1_t_Pruefling;05_L1_I_Pruefling;05_L2_t_Pruefling;05_L2_I_Pruefling;05_L3_t_Pruefling;05_L3_I_Pruefling;20_L1_t_Einspeisung;20_L1_I_Einspeisung;20_L2_t_Einspeisung;20_L2_I_Einspeisung;20_L3_t_Einspeisung;20_L3_I_Einspeisung;20_L1_t_Pruefling;20_L1_I_Pruefling;20_L2_t_Pruefling;20_L2_I_Pruefling;20_L3_t_Pruefling;20_L3_I_Pruefling;50_L1_t_Einspeisung;50_L1_I_Einspeisung;50_L2_t_Einspeisung;50_L2_I_Einspeisung;50_L3_t_Einspeisung;50_L3_I_Einspeisung;50_L1_t_Pruefling;50_L1_I_Pruefling;50_L2_t_Pruefling;50_L2_I_Pruefling;50_L3_t_Pruefling;50_L3_I_Pruefling;80_L1_t_Einspeisung;80_L1_I_Einspeisung;80_L2_t_Einspeisung;80_L2_I_Einspeisung;80_L3_t_Einspeisung;80_L3_I_Einspeisung;80_L1_t_Pruefling;80_L1_I_Pruefling;80_L2_t_Pruefling;80_L2_I_Pruefling;80_L3_t_Pruefling;80_L3_I_Pruefling;90_L1_t_Einspeisung;90_L1_I_Einspeisung;90_L2_t_Einspeisung;90_L2_I_Einspeisung;90_L3_t_Einspeisung;90_L3_I_Einspeisung;90_L1_t_Pruefling;90_L1_I_Pruefling;90_L2_t_Pruefling;90_L2_I_Pruefling;90_L3_t_Pruefling;90_L3_I_Pruefling;100_L1_t_Einspeisung;100_L1_I_Einspeisung;100_L2_t_Einspeisung;100_L2_I_Einspeisung;100_L3_t_Einspeisung;100_L3_I_Einspeisung;100_L1_t_Pruefling;100_L1_I_Pruefling;100_L2_t_Pruefling;100_L2_I_Pruefling;100_L3_t_Pruefling;100_L3_I_Pruefling;120_L1_t_Einspeisung;120_L1_I_Einspeisung;120_L2_t_Einspeisung;120_L2_I_Einspeisung;120_L3_t_Einspeisung;120_L3_I_Einspeisung;120_L1_t_Pruefling;120_L1_I_Pruefling;120_L2_t_Pruefling;120_L2_I_Pruefling;120_L3_t_Pruefling;120_L3_I_Pruefling
10;218.094772338867;10;240.58757019043;10;214.845596313477;10;218.601699829102;10;241.023468017578;10;214.818710327148;10;819.769958496094;10;782.855712890625;10;819.423461914063;10;817.687866210938;10;781.284484863281;10;817.343688964844;10;1980.64916992188;10;1958.59375;10;1995.57690429688;10;1977.2421875;10;1959.94116210938;10;2001.67749023438;10;3181.85107421875;10;3208.50659179688;10;3216.501953125;10;3174.05346679688;10;3203.31396484375;10;3210.75073242188;10;3592.56787109375;10;3567.29443359375;10;3600.04614257813;10;3585.2138671875;10;3562.9365234375;10;3590.78784179688;10;4021.66528320313;10;4014.89868164063;10;3995.74951171875;10;4012.021484375;10;4016.41650390625;10;3983.01293945313;10;4773.08642578125;10;4807.13818359375;10;4798.611328125;10;4702.38720703125;10;4819.923828125;10;4726.58056640625
11;218.175231933594;11;241.034317016602;11;214.845596313477;11;218.892135620117;11;241.397430419922;11;215.057998657227;11;818.002990722656;11;783.736206054688;11;819.008605957031;11;816.963989257813;11;780.911804199219;11;818.892211914063;11;1979.37976074219;11;1962.2939453125;11;1995.736328125;11;1977.48217773438;11;1960.47680664063;11;2008.29174804688;11;3178.78100585938;11;3209.41284179688;11;3214.6748046875;11;3178.13061523438;11;3206.30639648438;11;3204.02856445313;11;3591.70825195313;11;3567.47875976563;11;3599.20166015625;11;3586.45043945313;11;3563.29931640625;11;3591.30590820313;11;4019.16455078125;11;4019.18481445313;11;3990.576171875;11;4011.25854492188;11;4013.38110351563;11;3984.48461914063;11;4772.044921875;11;4807.13818359375;11;4811.130859375;11;4707.08740234375;11;4827.06298828125;11;4727.55908203125
12;218.444305419922;12;240.984924316406;12;214.623886108398;12;218.549926757813;12;241.11799621582;12;214.640853881836;12;817.208129882813;12;783.517211914063;12;818.195190429688;12;818.461059570313;12;782.155395507813;12;818.843017578125;12;1979.76599121094;12;1963.51879882813;12;2004.85229492188;12;1976.46398925781;12;1959.6669921875;12;2003.2041015625;12;3182.123046875;12;3210.15502929688;12;3217.39916992188;12;3175.58618164063;12;3203.2900390625;12;3179.06420898438;12;3592.73779296875;12;3566.65942382813;12;3599.20166015625;12;3586.8115234375;12;3561.87329101563;12;3601.66235351563;12;4020.48559570313;12;4020.60180664063;12;3994.2412109375;12;4012.44018554688;12;4014.41918945313;12;3975.14233398438;12;4772.044921875;12;4810.34619140625;12;4805.98193359375;12;4705.166015625;12;4823.6328125;12;4725.4013671875
13;218.136260986328;13;240.778244018555;13;214.88996887207;13;218.746948242188;13;241.287063598633;13;215.150512695313;13;818.729431152344;13;781.867309570313;13;819.802734375;13;818.743041992188;13;782.23291015625;13;803.116394042969;13;1978.50964355469;13;1962.53503417969;13;2011.77478027344;13;1976.67797851563;13;1960.162109375;13;2009.43798828125;13;3180.23681640625;13;3208.47265625;13;3210.99780273438;13;3177.36694335938;13;3205.28564453125;13;3184.77368164063;13;3592.10791015625;13;3567.8662109375;13;3599.55883789063;13;3587.04638671875;13;3562.29736328125;13;3601.66235351563;13;4022.74047851563;13;4019.99267578125;13;3996.44189453125;13;4009.77856445313;13;4014.62451171875;13;3976.029296875;13;4772.81640625;13;4809.3095703125;13;4810.673828125;13;4709.240234375;13;4820.2431640625;13;4724.6796875
14;218.314651489258;14;241.164169311523;14;214.460586547852;14;218.746948242188;14;241.287063598633;14;214.930267333984;14;819.02734375;14;781.370849609375;14;819.76708984375;14;818.330993652344;14;781.721740722656;14;782.13818359375;14;1978.84899902344;14;1963.2177734375;14;2006.48754882813;14;1977.51184082031;14;1961.93811035156;14;2010.75439453125;14;3181.35205078125;14;3211.04028320313;14;3185.8388671875;14;3174.38500976563;14;3203.20971679688;14;3180.4208984375;14;3593.07495117188;14;3568.6220703125;14;3610.92626953125;14;3587.263671875;14;3564.17016601563;14;3602.92578125;14;4019.90478515625;14;4019.19946289063;14;3988.3583984375;14;4002.35083007813;14;4008.53051757813;14;3976.22802734375;14;4770.55322265625;14;4809.3095703125;14;4806.64208984375;14;4738.26220703125;14;4834.61474609375;14;4727.22705078125
15;218.314651489258;15;240.885452270508;15;214.983108520508;15;218.542861938477;15;241.082138061523;15;215.052978515625;15;818.613098144531;15;782.733337402344;15;804.475280761719;15;817.1982421875;15;781.175903320313;15;782.352783203125;15;1979.72204589844;15;1962.12963867188;15;2012.65063476563;15;1988.04602050781;15;2005.12145996094;15;2009.95629882813;15;3178.84057617188;15;3208.56640625;15;3191.26416015625;15;3183.10815429688;15;3206.27905273438;15;3183.05493164063;15;3592.17309570313;15;3566.92651367188;15;3609.5283203125;15;3586.38012695313;15;3562.58666992188;15;3599.61889648438;15;4012.01171875;15;4021.21606445313;15;3987.40283203125;15;4006.693359375;15;4011.763671875;15;3981.23583984375;15;4807.7822265625;15;4809.564453125;15;4807.6513671875;15;4738.26220703125;15;4834.61474609375;15;4726.14306640625
16;218.095764160156;16;241.067321777344;16;214.78857421875;16;218.758041381836;16;241.390151977539;16;215.282424926758;16;817.474914550781;16;782.717590332031;16;783.053161621094;16;818.813537597656;16;782.777526855469;16;781.965393066406;16;1989.94348144531;16;1962.71862792969;16;2014.08190917969;16;1991.05859375;16;2024.48706054688;16;2010.78100585938;16;3186.12548828125;16;3209.775390625;16;3187.087890625;16;3209.39233398438;16;3212.962890625;16;3185.22045898438;16;3592.17309570313;16;3568.53369140625;16;3613.1826171875;16;3588.68774414063;16;3563.90576171875;16;3594.41552734375;16;4016.59375;16;4020.49780273438;16;3989.33422851563;16;4009.14672851563;16;4014.12109375;16;3982.40185546875;16;4813.88525390625;16;4804.32763671875;16;4810.439453125;16;4747.58203125;16;4838.13818359375;16;4727.642578125
17;218.340774536133;17;241.067321777344;17;214.87255859375;17;218.326095581055;17;240.883316040039;17;215.102661132813;17;819.072265625;17;782.308288574219;17;783.112670898438;17;818.992797851563;17;782.662841796875;17;780.978698730469;17;1993.62976074219;17;1963.81481933594;17;2013.41198730469;17;1984.86938476563;17;2018.13720703125;17;2006.57275390625;17;3212.55883789063;17;3207.87573242188;17;3189.04541015625;17;3216.109375;17;3209.857421875;17;3185.22045898438;17;3594.64111328125;17;3568.10327148438;17;3609.22509765625;17;3596.87866210938;17;3616.69702148438;17;3603.7607421875;17;4018.44360351563;17;4014.77514648438;17;3993.87548828125;17;3999.52954101563;17;4004.74731445313;17;3980.64672851563;17;4821.1025390625;17;4819.05419921875;17;4807.125;17;4747.466796875;17;4836.423828125;17;4728.28173828125
18;217.864929199219;18;240.840209960938;18;215.09895324707;18;218.793823242188;18;241.425247192383;18;215.163696289063;18;819.262878417969;18;781.607727050781;18;782.872924804688;18;816.639343261719;18;777.315307617188;18;780.66357421875;18;1986.94128417969;18;2005.80297851563;18;2014.22644042969;18;1990.56555175781;18;2023.669921875;18;2011.00305175781;18;3220.04638671875;18;3211.26806640625;18;3190.64111328125;18;3222.39794921875;18;3216.2080078125;18;3183.74584960938;18;3604.47509765625;18;3568.10327148438;18;3601.26196289063;18;3596.87866210938;18;3616.69702148438;18;3604.005859375;18;4010.23168945313;18;4017.94360351563;18;3993.87548828125;18;4000.00805664063;18;4005.82934570313;18;3980.61645507813;18;4819.72607421875;18;4817.22607421875;18;4814.3076171875;18;4748.00244140625;18;4835.94921875;18;4728.19775390625
19;218.344085693359;19;241.169662475586;19;214.947189331055;19;218.591491699219;19;241.203918457031;19;215.145278930664;19;816.925354003906;19;783.285766601563;19;781.784790039063;19;813.356323242188;19;769.284362792969;19;783.553344726563;19;1992.43969726563;19;2026.82189941406;19;2009.85278320313;19;1991.85864257813;19;2025.65100097656;19;2012.00512695313;19;3227.37817382813;19;3216.74145507813;19;3190.64111328125;19;3218.97778320313;19;3210.91772460938;19;3170.81616210938;19;3602.23071289063;19;3568.67724609375;19;3611.2373046875;19;3597.15356445313;19;3617.35180664063;19;3602.19799804688;19;4008.51782226563;19;4019.97192382813;19;3989.62475585938;19;4001.4482421875;19;4005.99658203125;19;3983.93432617188;19;4821.880859375;19;4823.61962890625;19;4809.11328125;19;4750.4580078125;19;4840.46484375;19;4722.3359375
